sector_code,municipality_name,municipality_code,sector_situation,MR_name,sector_type,avg_income,total_households,piped_water,well_spring_water,stored_rainwater,other_water_source,private_bathroom,bathroom_sewerage,bathroom_septic_tank,bathroom_cesspit,bathroom_ditch,bathroom_waterbodies,bathroom_other
150140245000074,BELÉM,1501402,urban,Metropolitan Region of Belém,1,6209,307,226,52,1,28,306,62,156,84,4,0,0
150140245000075,BELÉM,1501402,urban,Metropolitan Region of Belém,1,506,232,77,151,0,4,231,5,13,208,4,0,1
150140245000076,BELÉM,1501402,urban,Metropolitan Region of Belém,1,911,234,50,183,0,1,233,45,171,9,6,0,2
150140245000077,BELÉM,1501402,urban,Metropolitan Region of Belém,0,3003,290,122,164,0,4,289,103,0,151,35,0,0
150140245000078,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2426,410,379,30,0,1,409,372,36,0,1,0,0
150140245000079,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2386,287,237,38,0,12,287,132,148,7,0,0,0
150140245000080,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2102,384,342,39,0,3,384,191,151,1,41,0,0
150140245000081,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2244,377,369,8,0,0,377,358,18,0,0,1,0
150140245000082,BELÉM,1501402,urban,Metropolitan Region of Belém,1,593,357,326,30,0,1,357,62,287,0,5,2,1
150140245000083,BELÉM,1501402,urban,Metropolitan Region of Belém,1,812,184,96,64,0,24,182,2,91,2,82,3,2
150140245000084,BELÉM,1501402,urban,Metropolitan Region of Belém,0,567,203,177,22,0,4,201,122,39,1,8,29,2
150140245000085,BELÉM,1501402,urban,Metropolitan Region of Belém,1,809,448,364,84,0,0,446,187,28,228,2,0,1
150140245000086,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1225,196,188,7,0,1,194,178,14,0,2,0,0
150140245000087,BELÉM,1501402,urban,Metropolitan Region of Belém,1,548,323,36,285,0,2,321,38,282,1,0,0,0
150140245000088,BELÉM,1501402,urban,Metropolitan Region of Belém,1,846,241,25,215,0,1,236,159,16,54,7,0,0
150140245000089,BELÉM,1501402,urban,Metropolitan Region of Belém,1,923,175,6,160,0,9,175,169,2,2,1,0,1
150140245000090,BELÉM,1501402,urban,Metropolitan Region of Belém,1,801,209,31,4,0,174,206,185,5,3,13,0,0
150140245000091,BELÉM,1501402,urban,Metropolitan Region of Belém,1,7841,122,42,26,0,54,119,45,64,2,8,0,0
150140245000092,BELÉM,1501402,urban,Metropolitan Region of Belém,0,720,112,99,13,0,0,112,14,80,18,0,0,0
150140245000093,BELÉM,1501402,urban,Metropolitan Region of Belém,0,362,207,183,19,0,5,207,2,36,169,0,0,0
150140245000094,BELÉM,1501402,urban,Metropolitan Region of Belém,0,666,226,173,49,0,4,226,72,5,142,7,0,0
150140245000095,BELÉM,1501402,urban,Metropolitan Region of Belém,0,908,236,166,66,0,4,235,3,215,2,15,0,0
150140245000096,BELÉM,1501402,urban,Metropolitan Region of Belém,0,787,246,175,58,0,13,234,9,186,6,32,0,1
150140245000097,BELÉM,1501402,urban,Metropolitan Region of Belém,0,615,259,178,79,0,2,259,109,11,136,3,0,0
150140245000098,BELÉM,1501402,urban,Metropolitan Region of Belém,0,372,249,236,12,0,1,245,8,201,22,14,0,0
150140245000099,BELÉM,1501402,urban,Metropolitan Region of Belém,0,1247,164,161,3,0,0,163,113,25,0,16,9,0
150140245000100,BELÉM,1501402,urban,Metropolitan Region of Belém,0,393,213,200,12,0,1,210,6,165,8,28,0,3
150140245000101,BELÉM,1501402,urban,Metropolitan Region of Belém,0,508,248,235,7,0,6,247,25,203,3,15,0,1
150140245000102,BELÉM,1501402,urban,Metropolitan Region of Belém,0,493,212,207,5,0,0,209,59,87,31,30,0,2
150140245000103,BELÉM,1501402,urban,Metropolitan Region of Belém,0,347,284,220,17,0,47,282,22,2,107,151,0,0
