"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"118";"150080005000118";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1823,78;149;2;79;0;68;149;20;129;0;0;0;0;508
"119";"150080005000119";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";984,5;350;169;180;0;1;350;7;337;5;0;0;1;1276
"120";"150080005000120";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";825,84;288;1;233;0;54;284;22;228;13;4;16;1;1092
"121";"150080005000121";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";667,18;181;0;97;0;84;178;0;172;5;0;0;1;696
"122";"150080005000122";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";4923,34;310;9;271;0;30;308;4;286;16;0;0;2;1182
"123";"150080005000123";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";627,21;166;160;6;0;0;162;0;8;137;0;16;1;586
"124";"150080005000124";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";768,06;181;169;11;0;1;181;39;114;1;26;1;0;625
"125";"150080005000125";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";725,11;206;202;2;0;2;201;5;125;2;3;63;3;752
"126";"150080005000126";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";814,82;230;187;41;0;2;230;6;192;7;22;3;0;866
"127";"150080005000127";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";971,22;375;78;287;0;10;375;96;260;16;0;0;3;1485
"128";"150080005000128";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1831,67;250;67;182;0;1;250;127;122;1;0;0;0;873
"129";"150080005000129";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";2041,13;228;199;28;0;1;228;43;5;180;0;0;0;849
"130";"150080005000130";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1459,54;197;188;9;0;0;197;172;24;0;0;0;1;722
"131";"150080005000131";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";4613,26;104;2;102;0;0;104;87;17;0;0;0;0;397
"132";"150080005000132";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";6108,84;138;1;134;0;3;138;1;136;0;0;0;1;490
"133";"150080005000133";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1128,62;215;0;211;0;4;215;18;158;6;33;0;0;764
"134";"150080005000134";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";949,32;246;102;142;0;2;246;28;180;38;0;0;0;907
"135";"150080005000135";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1317,41;276;11;260;0;5;276;14;20;242;0;0;0;890
"136";"150080005000136";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1349,18;299;19;156;0;124;292;64;115;9;18;86;0;1112
"137";"150080005000137";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1488,34;221;34;183;0;4;221;106;113;2;0;0;0;811
"138";"150080005000138";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";2223,35;375;10;363;0;2;375;48;140;184;2;0;1;1348
"139";"150080005000139";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";447,75;396;0;279;0;117;390;52;201;12;124;1;0;1500
"140";"150080005000140";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1041,95;343;34;305;0;4;339;27;8;301;2;0;1;1284
"141";"150080005000141";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";959,08;388;6;377;0;5;388;19;48;309;12;0;0;1452
"142";"150080005000142";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1257,16;318;17;286;0;15;318;6;281;25;5;0;1;1152
"143";"150080005000143";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1187,29;167;6;148;0;13;167;4;157;3;3;0;0;677
"144";"150080005000144";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";533,81;268;3;162;0;103;247;30;85;22;72;21;17;1061
